15,Feature/pr 30 event sourcing cqrs,closed,feature/PR-30-event-sourcing-cqrs,main,2025-08-30T21:11:01Z,ae66edc4dba8bfc6ef1b5fcf73cdaa03367cdcad
14,Setup econeura monorepo with erp crm ia graph webhooks ci cd,closed,cursor/setup-econeura-monorepo-with-erp-crm-ia-graph-webhooks-ci-cd-390d,main,null,9c3f3724f5e99d04f6dad10ab9c95f0a441ad5d7
13,🚀 COMPLETE ECONEURA ERP+CRM SYSTEM - Production Ready,closed,feat/complete-econeura-system,main,2025-08-28T16:35:47Z,dab2555c39ba766047b5bb7885b00ed0a3a0c33a
12,Feat/web wire react query,closed,feat/web-wire-react-query,main,2025-08-28T13:07:54Z,3de9f0f817938f0434f9a779a117ebee52213ddc
11,Feat/web wire react query,closed,feat/web-wire-react-query,main,2025-08-28T12:06:22Z,fcafde43c91d91c2994ad726de6d95ce0769357e
10,feat: PR-01 & PR-02 - Complete ECONEURA foundation with contracts and auth,closed,feat/auth-rbac-sessions,main,null,748449b2d899a9c2981ee6198fa38b05fbf0a678
9,Chore/vscode devcontainer,closed,chore/vscode-devcontainer,main,null,751c2251f33402741598f78f1dfc6e80cf66a7ac
8,feat(shared): Add strongly typed schemas and SDK clients,closed,pr-01/contracts-sdk,main,null,4dca2fdf58e7974be8d8a1686aac80ec5efcb256
7,Feat/devops azure,closed,feat/devops-azure,main,2025-08-28T12:49:48Z,b37b9f52b06e0f0461feeb44cc711cfd6414cbe9
6,Feat/api crm,closed,feat/api-crm,main,null,0b7f2b165fef9426c5b13ccb0d4bfa0e06e53261
5,Feat/web UI,closed,feat/web-ui,main,2025-08-28T09:33:19Z,519ba53d78bc97f68ab6915cc0754332780a5e02
4,Chore/api cors metrics,closed,chore/api-cors-metrics,main,2025-08-28T09:02:30Z,ba6ef6bb58883d8ac5f7753a9f3f8b990d9d4b80
3,feat(webhooks): Add RAW body parsing and provider-specific HMAC verif…,closed,feat/webhooks-raw-verify,main,2025-08-28T12:54:19Z,3022d28e27516231cd402332a7c8331fcd90d0f1
2,Feat/api erp,closed,feat/api-erp,main,null,04f7e6a9ea87613c3b38e0c4cab996419b8e3e9a
1,fix(ai-router): Correct scoring algorithm and enhance metrics attribu…,closed,fix/ai-router-scoring-metrics,main,2025-08-28T12:48:19Z,0b8d82802a314dcb094d988ce3723917490d2d32
